MAX CAP;SUPPLY RATE;PRICE;ITEM;DIST(Ls);STATION;SYSTEM
15;1-10;340;Diso Ma Corn;284.00;Shifnalport;Diso
13;2-4;863;Eleu Thermals;333.00;Finney Dock;Eleu
11;3-9;978;Indi Bourbon;143.00;Mansfield Orbiter;Epsilon Indi
8;1-7;1633;Eranin Whiskey;297.00;Azeban City;Eranin
9;1-6;2050;Eshu Umbrellas;1,742.00;Shajn Terminal;Eshu
10;1-10;2450;Esuseku Caviar;276.00;Savinykh Orbital;Esuseku
7;1-7;3308;Ethgreze Tea Buds;351.00;Bloch Station;Ethgreze
10;2-10;992;Fujin Tea;559.00;Futen Spaceport;Fujin
26;26;1022;Geawen Dance Dust;426,261.00;Obruchev Legacy;Geawen
9-17;3-17;1827;Pantaa Prayer Sticks;45.00;Zamka Platform;George Pantazis
22;9-22;456;Gerasian Gueuze Beer;1,052,931.00;Yurchikhin Port;Geras
16;3-11;1451;Goman Yaupon Coffee;291.00;Gustav Sporer Port;Goman
15;1-8;1347;Haidne Black Brew;561,080.00;Searfoss Enterprise;Haiden
2;1-2;9636;Havasupai Dream Catcher;601,314.00;Lovelace Port;Havasupai
13;2-6;1190;Live Hecate Sea Worms;570.00;RJH1972;Hecate
8;1-6;1920;Ceremonial Heike Tea;406.00;Brunel City;Heike
6;1-3;3620;Helvetitj Pearls;444.00;Friend Orbital;Helvetitj
13;ND;2105;HIP 10175 Bush Meat;4,850.00;Stefanyshyn-Piper Station;HIP 10175
ND;ND;1488;HIP Proto-Squid;536,714.00;Andersson Station;HIP 41181
ND;13;806;Burnham Bile Distillate;529,600.00;Burnham Beacon;HIP 59533
19;1-18;385;HIP Organophospates;2,632.00;Stasheff Colony;HIP 80364
7;1-6;6518cr;Holva Duelling Blades;22,000.00;Kreutz Orbital;Holva
16;1-14;415;HR 7221 Wheat;1,886.00;Veron City;HR 7221
12-16;2-7;1810;Giant Irukama Snails;323.00;Blaauw City;Irukama
6;1-6;12706;Jaradharre Puzzle Box;526,178.00;Gohar Station;Jaradharre
18;2-16;385;Jaroua Rice;143.00;Mccool City;Jaroua
32;4-24;1252;Jotun Mookah;80.00;Icelock;Jotun (permit)
10;2-9;473;Kachirigin Filter Leeches;340.00;Nowak Orbital;Kachirigin
6;1-4;5800;Kamitra Cigars;82.00;Hammel Terminal;Kamitra
12;1-8;2678;Kamorin Historic Weapons;445.00;Godwin Vision;Kamorin
5;2-5;5225;Karetii Couture;990.00;Sinclair Platform;Karetii
18;7-11;915;Karsuki Locusts;28.00;West Market;Karsuki Ti
3;1;7279;Kinago Violins;1,723.00;Fozard Ring;Kinago
16;1-12;595;Kongga Ale;254.00;Laplace Ring;Kongga
20;6-14;220;Koro Kung Pellets;622,040.00;Lonchakov Orbital;Korro Kung
7;4-7;3543;Lavian Brandy;302.00;Lave Station;Lave
7;3-5;1664;Chameleon Cloth;54,480.00;Smith Reserve;LDS 883
14;1-10;462;Leestian Evil Juice;257.00;George Lucas;Leesti
7;2-7;4164;Azure Milk;257.00;George Lucas;Leesti
ND;3-11;2357;Void Extract Coffee;773,000.00;Ehrlich Orbital;LFT 1421
13;13;1365;Honesty Pills;514,700.00;King Gateway;LP 375-25
8;ND;1345;Mechucos High Tea;534,137.00;Brandenstein Port;Mechucos
18;18;416;Medb starlube;1,686,844.00;Vela dock;Medb
7;1-3;2681;Mokojing Beast Feast;539,400.00;Noli Terminal;Mokojing
7;3-7;1836;Momus Bog Spaniel;413.00;Tartarus Point;Momus Reach
15;3-5;654;Mukusubii Chitin-os;505,430.00;Ledyard Dock;Mukusubii
19;11-19;86;Mulachi Giant Fungus;594,550.00;Clark Terminal;Mulachi
13;6-7;850;Neritus Berries;524.00;Toll Ring;Neritus
10;3-5t;16028;Ngandandari Fire Opals;502,357.00;Consolmagno Horizons;Ngadandari
18;2-9;930;Nguna Modern Antiques;1,870.00;Biggle Hub;Nguna
ND;ND;17000;Soontill Relics;1,265.00;Cheranovsky City;Ngurii
ND;7;650;Njangari Saddles;21,400.00;Lee Hub;Njangari
14;1-9;998;Ochoeng Chillies;484.00;Roddenberry Gateway;Ochoeng
16;6-10;533;Orrerian Vicious Brew;963.00;Sharon Lee Free Market;Orrere
6;1-2;6,552;Giant Verrix;85.00;Greeboski's Outpost;Phiagre
10;1-6;2538;Albino Quechua Mammoth Meat;120.00;Crown Ring;Quechua
16-27;6-27;682;Rajukru Multi-Stoves;117.00;Snyder Terminal;Rajukru
11;5-6;550;Rapa Bao Snake Skins;2,338.00;Flagg Gateway;Rapa Bao
10;3-5;5810;Rusani Old Smokey;72.00;Fernandes Market;Rusani
17;1-17;860;Sanuma Decorative Meat;6,000.00;Dunyach Gateway;Sanuma
6;4-6;3710;Waters of Shintara;347.00;Jameson Memorial;Shinrarta Dezhra (permit)
8;3-8;815;Lucan Onion Head;414.00;Cassie-L-Peia;Tanmark
9;1-5;1814;Tanmark Tranquil Tea;414.00;Cassie-L-Peia;Tanmark
8;1-7;1056;Tarach Spice;359.00;Tranquillity;Tarach Tor
24;ND;7824;Terra Mater Blood Bores;504.00;Gr8minds;Terra Mater (permit)
11;1;925;Thrutis Cream;288.00;Kingsbury Dock;Thrutis
16;9;1153;Tiolce Waste 2 Paste;158.00;Gordon Terminal;Tiolce
18;2-14;539;Toxandji Virocide;7,000.00;Tsunenaga Orbital (black market available at Alvares Dock - 7300 Ls);Toxandji
14;3-14;965;Uszaian Tree Grub;4,350.00;Guest Installation;Uszaa
15;3-10;1795;Utgaroar Millennial Eggs;171.00;Fort Klarix;Utgaroar
7;4-7;8496;Uzumoku Low-G Wings;505,300.00;Sevrdup Ring;Uzumoku
20;2-15;160;V Herculis Body Rub;1,233,592.00;Kaku Plant;V1090 Herculis
10;3-10;615;Vanayequi Ceratomorpha Fur;81.00;Clauss Hub;Vanayequi
8;2-6;2398;Vega Slimweed;1,100.00;Taylor City;Vega (permit)
5;2;6771;Vidavantian Lace;556,882.00;Lee Mines;Vidavanta
6;3;3262;Volkhab Bee Drones;408.00;Vernadsky Dock;Volkhab
19;5-10;262;Wheemete Wheat Cakes;551,628.00;Eisinga Enterprise;Wheemete
9;2-5;4520;Witchhaul Kobe Beef;219.00;Hornby Terminal;Witchhaul
13;1-10;712;Wolf Fesh;415.00;Saunders's Dive;Wolf 1301
10;ND;1175;Wulpa Hyperbore Systems;28.00;Williams Gateway;Wulpa
17;1-16;420;Wuthielo Ku Froth;145.00;Tarter Dock;Wuthielo Ku
10;3-10;4482;Xihe Biomorphic Companions;1,965.00;Zhen Dock;Xihe
5t;1;6060;Yaso Kondi Leaf;114.00;Wheeler Market;Yaso Kondi
1;1;24590;Leathery Eggs;400.00;Ridley Scott;Zaonce
18;1-18;374;Zeessze Ant Grub Glue;489.00;Nicollier Hanger;Zeessze
